posttyp;periodtyp;år;månad;datum;besöksmål;besökstyp;vuxen;barn;student;pensionär;medlem;rabatt;fri_vuxen;skola;skola_barn;konferens;grupp;total;belopp;intäktstyp;kommun;skolnivå;gruppkategori;betalkategori;betald;dagsrapport;notering
skolbesök;månad;2022;Sep;;kulturenilund;vbesok;;;;;;;;36;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2022;Okt;;kulturenilund;vbesok;;;;;;;;46;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2022;Nov;;kulturenilund;vbesok;;;;;;;;50;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2022;Nov;;kulturenilund;vbesok;;;;;;;;66;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2022;Dec;;kulturenilund;vbesok;;;;;;;;22;ja;;;;;;Kävlinge;Förskola;;nej;;;
skolbesök;månad;2022;Dec;;kulturenilund;vbesok;;;;;;;;133;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2022;Dec;;kulturenilund;vbesok;;;;;;;;12;ja;;;;;;Staffanstorp;Förskola;;nej;;;
skolbesök;månad;2022;Dec;;kulturenilund;vbesok;;;;;;;;64;ja;;;;;;Svedala;Förskola;;nej;;;
skolbesök;månad;2023;Jan;;kulturenilund;vbesok;;;;;;;;37;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2023;Feb;;kulturenilund;vbesok;;;;;;;;29;ja;;;;;;Burlöv;Förskola;;nej;;;
skolbesök;månad;2023;Feb;;kulturenilund;vbesok;;;;;;;;105;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2023;Feb;;kulturenilund;vbesok;;;;;;;;29;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2023;Mar;;kulturenilund;vbesok;;;;;;;;26;ja;;;;;;Burlöv;Förskola;;nej;;;
skolbesök;månad;2023;Mar;;kulturenilund;vbesok;;;;;;;;24;ja;;;;;;Kävlinge;Förskola;;nej;;;
