datum;dagsrapport
2026-04-15;Åkertäppans förskola kom 16 barn och 4 pedagoger för att leka på Madicken. Lingua Montessori hade bokat för 16 barn och 3 pedagoger att äta lunch i arkitekterna hus samt leka på Madicken och lekplats. Lunds Universitetsbibliotek hade tema vecka tillsammans med internationella kollegor "Sustainability Library staff week" och droppade in under dagen för att besöka museet, totalt 3 pers kom. Glimåkra Folkhögskola kom 13 elever och 1 lärare för att få visning en med Olof över Byggnadskultur och en med Ola för Tidens rum. Vidare kom Rutborgskolan 20 elever och 4 lärare, där halva klassen var på besök från Madrid, tillsammans besökte de museet i allmänhet. Fäladsgården hade också besök av spanska elever och kom totalt 55 elever och 6 lärare för att besöka museet själva. Sen hade Lunds måltidsgille bokat Auditoriet för eget föredrag för 45 pers. Utöver detta hade Johanna onsdagsvisning av Häcken Full för 3 pers samt smedjan kvällskurs för 6 pers.
2026-04-14;Lugn dag idag med främst nya besökare med barn. Utöver det var Montessori Bjärred bokad och kom 20 elever och 2 lärare för att allmänt besöka museet. Dagen avslutades med smideskurs i smedjan för 6 pers. 
2026-04-12;Jessica skulle hålla en visning av Thomanderska men det fanns inget intresse för det idag tyvärr och Emma gav en visning av "En annan värld" för 3 vuxna och 2 barn. Svartsmide under eftermiddagen.
2026-04-11;Idag var det barnkalas i Arkitekternas hus. Emma hade en visning av Friluftsmuseet för 1 person och Jessica berättade om Dekanhuset för 4 personer. Svartsmide pågick för fullt under dagen med Robin. Pyssel i Verkstaden med Emma, det kom 23 barn och 10 vuxna. Flöde av besökare och väldigt mycket folk i kafét.
2026-04-10;En ganska lugn dag. En förskola uteblev från sitt bokade besök. Polhemskolan var här på besök tillsammans med utbytesstudenter från Madrid, totalt 23 personer. En hel del turister främst franska och amerikanska. 
2026-04-09;Morgonen började med besök från Barnens hus Montessoriförskolan klockan 9, de var sammanlagt 27 och lekte i Madicken. Klockan 10 var det Slottshöjdens förskolas tur, de var 19 elever och 3 pedagoger. Idag hade vi även Körkortsuppdatering i verkstan. Maria förskola kom kl 11 för att leka hos Madicken även dem, de var 19 elever och 4 personal. 12 var det Jensen förskolas tur, även de 19 elever och 3 personal. Efter lunch kl 13.15 kom Seniorklubben Swedbank till museet för att gå visningen Människorna i husen med Annika. De var 23 personer. Klockan 15 var det dags för omgång två av körkortsuppdateringen. Klockan 18 hade Föreningen Gamla Lund ett föredrag "Folkskoleseminariets arkitekt", det kom 47 pers. Samtidigt hade förlaget Solis som hyrt Hornsbergssalen en installation för publik med samtal och textläsning, tyvärr kom inga. Kvällen avslutades med kurs i smedjan för 6 pers. 
2026-04-08;Idag kom Påskagängets skola gick visning med Kristina och Johanna, två klasser med totalt 49 elever.  Efter det gick de själva runt på museet. Klockan 10 kom en skola från Schweiz, med 16 elever och 2 lärare. De gick visning med Annika och åt sedan lunch på kaféet. Lunds måltidsgille kom klockan 14 och gick egen visning, de var 12 personer. Dagens onsdagsvisning var tyvärr inställd pga VAB. Under kvällen var det svartsmide. 
2026-04-07;Lugnet efter påsklovs-stormen! Idag kom Tomegårdens Montessoriförskola klockan 9.30 för att leka i Madicken, de var 12 elever och 2 pedagoger. 10.30 var det knypplingsträff i Ystadhuset. En stor grupp på över 20 personer gjorde spontanbesök från Tyskland. 14.00 hade måltidsgillet egen visning i Borgarhuset för 10 st medlemmar. Svartsmide på kvällen! Idag fick vi 7 nya medlemmar!
2026-04-06;Soligt men stormigt idag. Jessica hade en förmiddagsvigning med tema Fika för 1 pers. Jessica höll även en påskvisning efter lunch som var fullbokad också med 20 pers. Prova-på i smedjan fortsätter med fullbokat program idag för 8 pers., ett sällskap uteblev sin bokning. Påskpyssel med Siri, det kom 80 barn och 68 vuxna. Kvällen avslutades med smideskurs för 6 pers. 7 nya medlemmar dag.
2026-04-05;Intensiv dag med mycket folk. Inga deltagare kom till förmiddagsvisnigen av friluftsmuseet men påsk-visningen med Jessica var fullbokad med 20 pers. 61 barn och 48 vuxna kom till pysslet med  Siri. Prova-på i smedjan var också fullbokad med totalt 10 pers. 13 nya medlemmar idag.
