år;månad;kommun;skolnivå;skolkategori;antal
2019;Apr;Lund;Gymnasium;skola-barn;272
2019;Apr;Malmö;Gymnasium;skola-barn;16
2019;Apr;Simrishamn;Gymnasium;skola-barn;40
2019;Apr;Svalöv;Gymnasium;skola-barn;12
2019;Apr;Tomelilla;Gymnasium;skola-barn;9
2019;Apr;Lund;Årskurs 1;skola-barn;50
2019;Apr;Staffanstorp;Årskurs 1;skola-barn;78
2019;Apr;Lund;Årskurs 2;skola-barn;14
2019;Apr;Höör;Årskurs 3;skola-barn;9
2019;Apr;Lund;Årskurs 3;skola-barn;79
2019;Apr;Malmö;Årskurs 3;skola-barn;28
2019;Apr;Lomma;Årskurs 4;skola-barn;27
2019;Apr;Lund;Årskurs 4;skola-barn;10
2019;Apr;Lund;Årskurs 5;skola-barn;11
2019;Apr;Lund;Årskurs 6;skola-barn;6
2019;Apr;Eslöv;Årskurs 7;skola-barn;19
2019;Apr;Malmö;Årskurs 7;skola-barn;12
2019;Apr;Hörby;Årskurs 8;skola-barn;23
2019;Apr;Kävlinge;Årskurs 8;skola-barn;18
2019;Apr;Lund;Årskurs 8;skola-barn;8
2019;Apr;Malmö;Årskurs 8;skola-barn;27
2019;Apr;Övrigt;Årskurs 8;skola-barn;49
2019;Apr;Lund;Årskurs 9;skola-barn;25
2019;Apr;Lomma;Högskola;skola-vuxen;
2019;Apr;Lund;Högskola;skola-vuxen;
2019;Apr;Hörby;Vuxenutbildning;skola-vuxen;24
2019;Apr;Kristianstad;Vuxenutbildning;skola-vuxen;15
2019;Apr;Lund;Vuxenutbildning;skola-vuxen;137
2019;Apr;Malmö;Vuxenutbildning;skola-vuxen;36
2019;Apr;Sjöbo;Vuxenutbildning;skola-vuxen;49
2019;Maj;Burlöv;Förskola;skola-barn;26
2019;Maj;Eslöv;Förskola;skola-barn;20
2019;Maj;Hässleholm;Förskola;skola-barn;14
2019;Maj;Kristianstad;Förskola;skola-barn;9
2019;Maj;Kävlinge;Förskola;skola-barn;70
2019;Maj;Lomma;Förskola;skola-barn;29
2019;Maj;Lund;Förskola;skola-barn;327
2019;Maj;Malmö;Förskola;skola-barn;58
2019;Maj;Sjöbo;Förskola;skola-barn;5
2019;Maj;Skurup;Förskola;skola-barn;15
2019;Maj;Trelleborg;Förskola;skola-barn;35
2019;Maj;Eslöv;Förskoleklass;skola-barn;74
2019;Maj;Lund;Förskoleklass;skola-barn;118
2019;Maj;Malmö;Förskoleklass;skola-barn;45
2019;Maj;Kristianstad;Gymnasium;skola-barn;16
2019;Maj;Lund;Gymnasium;skola-barn;214
2019;Maj;Malmö;Gymnasium;skola-barn;17
2019;Maj;Svalöv;Gymnasium;skola-barn;5
2019;Maj;Lund;Årskurs 1;skola-barn;54
2019;Maj;Staffanstorp;Årskurs 1;skola-barn;50
2019;Maj;Lomma;Årskurs 2;skola-barn;1
2019;Maj;Lund;Årskurs 2;skola-barn;69
2019;Maj;Malmö;Årskurs 2;skola-barn;61
2019;Maj;Övrigt;Årskurs 2;skola-barn;2
2019;Maj;Båstad;Årskurs 3;skola-barn;50
2019;Maj;Eslöv;Årskurs 3;skola-barn;27
2019;Maj;Kristianstad;Årskurs 3;skola-barn;77
2019;Maj;Lund;Årskurs 3;skola-barn;47
2019;Maj;Höör;Årskurs 4;skola-barn;42
2019;Maj;Lund;Årskurs 4;skola-barn;38
2019;Maj;Malmö;Årskurs 4;skola-barn;51
2019;Maj;Simrishamn;Årskurs 4;skola-barn;9
2019;Maj;Staffanstorp;Årskurs 4;skola-barn;40
2019;Maj;Burlöv;Årskurs 5;skola-barn;42
2019;Maj;Lomma;Årskurs 5;skola-barn;2
2019;Maj;Lund;Årskurs 5;skola-barn;125
2019;Maj;Staffanstorp;Årskurs 5;skola-barn;28
2019;Maj;Eslöv;Årskurs 6;skola-barn;6
2019;Maj;Helsingborg;Årskurs 6;skola-barn;15
2019;Maj;Lomma;Årskurs 6;skola-barn;84
2019;Maj;Malmö;Årskurs 6;skola-barn;49
2019;Maj;Staffanstorp;Årskurs 6;skola-barn;16
2019;Maj;Eslöv;Årskurs 7;skola-barn;3
2019;Maj;Lund;Årskurs 7;skola-barn;223
2019;Maj;Eslöv;Årskurs 8;skola-barn;3
2019;Maj;Hörby;Årskurs 8;skola-barn;11
2019;Maj;Övrigt;Årskurs 8;skola-barn;23
2019;Maj;Lund;Årskurs 9;skola-barn;44
2019;Maj;Lund;Högskola;skola-vuxen;
2019;Maj;Malmö;Högskola;skola-vuxen;
2019;Maj;Kristianstad;Vuxenutbildning;skola-vuxen;10
2019;Maj;Lund;Vuxenutbildning;skola-vuxen;56
2019;Maj;Malmö;Vuxenutbildning;skola-vuxen;27
2019;Maj;Svedala;Vuxenutbildning;skola-vuxen;12
2019;Maj;Ängelholm;Vuxenutbildning;skola-vuxen;6
2019;Jun;Höör;Förskola;skola-barn;11
2019;Jun;Lund;Förskola;skola-barn;224
2019;Jun;Malmö;Förskola;skola-barn;42
2019;Jun;Svedala;Förskola;skola-barn;9
2019;Jun;Helsingborg;Förskoleklass;skola-barn;26
2019;Jun;Lund;Förskoleklass;skola-barn;15
2019;Jun;Malmö;Förskoleklass;skola-barn;29
2019;Jun;Båstad;Gymnasium;skola-barn;40
2019;Jun;Kristianstad;Gymnasium;skola-barn;16
2019;Jun;Lund;Gymnasium;skola-barn;1
2019;Jun;Malmö;Gymnasium;skola-barn;11
2019;Jun;Höör;Årskurs 1;skola-barn;22
2019;Jun;Kävlinge;Årskurs 1;skola-barn;28
2019;Jun;Lund;Årskurs 1;skola-barn;1
2019;Jun;Staffanstorp;Årskurs 1;skola-barn;49
2019;Jun;Helsingborg;Årskurs 2;skola-barn;85
2019;Jun;Höör;Årskurs 2;skola-barn;20
2019;Jun;Lund;Årskurs 2;skola-barn;38
2019;Jun;Helsingborg;Årskurs 3;skola-barn;20
2019;Jun;Kristianstad;Årskurs 3;skola-barn;50
2019;Jun;Lund;Årskurs 3;skola-barn;21
2019;Jun;Malmö;Årskurs 3;skola-barn;18
2019;Jun;Höör;Årskurs 4;skola-barn;18
2019;Jun;Lund;Årskurs 4;skola-barn;125
2019;Jun;Malmö;Årskurs 4;skola-barn;14
2019;Jun;Lomma;Årskurs 7;skola-barn;15
2019;Jun;Lund;Årskurs 7;skola-barn;1
2019;Jun;Övrigt;Årskurs 7;skola-barn;1
2019;Jun;Eslöv;Årskurs 8;skola-barn;22
2019;Jun;Lund;Årskurs 8;skola-barn;1
2019;Jun;Malmö;Årskurs 8;skola-barn;8
2019;Jun;Malmö;Årskurs 9;skola-barn;67
2019;Jun;Övrigt;Årskurs 9;skola-barn;8
2019;Jun;Lund;Högskola;skola-vuxen;
2019;Jun;Övrigt;Högskola;skola-vuxen;
2019;Jun;Burlöv;Vuxenutbildning;skola-vuxen;30
2019;Jun;Hörby;Vuxenutbildning;skola-vuxen;20
2019;Jun;Lund;Vuxenutbildning;skola-vuxen;53
2019;Jun;Malmö;Vuxenutbildning;skola-vuxen;71
2019;Jul;Lomma;Förskola;skola-barn;10
2019;Jul;Lund;Förskola;skola-barn;155
2019;Jul;Malmö;Förskola;skola-barn;22
2019;Jul;Hörby;Förskoleklass;skola-barn;1
2019;Jul;Lund;Förskoleklass;skola-barn;23
2019;Jul;Malmö;Förskoleklass;skola-barn;44
2019;Jul;Lund;Gymnasium;skola-barn;2
2019;Jul;Lund;Årskurs 1;skola-barn;54
2019;Jul;Lund;Årskurs 2;skola-barn;52
