år;månad;besöksmål;typ;kategori;antal
2013;okt;kulturenilund;verksamhet;vuxen;743
2013;okt;kulturenilund;verksamhet;konferens;241
2013;okt;kulturenilund;verksamhet;student;200
2013;okt;kulturenilund;verksamhet;barn;1028
2013;okt;kulturenilund;verksamhet;rabatt;26
2013;okt;kulturenilund;verksamhet;fri-vuxen;585
2013;okt;kulturenilund;verksamhet;skola-allt;1198
2013;okt;kulturenilund;verksamhet;pensionär;261
2013;okt;kulturenilund;verksamhet;medlem;372
2013;okt;kulturenilund;verksamhet;grupp;30
2013;nov;kulturenilund;verksamhet;vuxen;2325
2013;nov;kulturenilund;verksamhet;konferens;745
2013;nov;kulturenilund;verksamhet;student;180
2013;nov;kulturenilund;verksamhet;barn;1432
2013;nov;kulturenilund;verksamhet;rabatt;26
2013;nov;kulturenilund;verksamhet;fri-vuxen;203
2013;nov;kulturenilund;verksamhet;skola-allt;1121
2013;nov;kulturenilund;verksamhet;pensionär;200
2013;nov;kulturenilund;verksamhet;medlem;278
2013;nov;kulturenilund;verksamhet;grupp;114
2013;dec;kulturenilund;verksamhet;vuxen;3698
2013;dec;kulturenilund;verksamhet;konferens;290
2013;dec;kulturenilund;verksamhet;student;193
2013;dec;kulturenilund;verksamhet;barn;1799
2013;dec;kulturenilund;verksamhet;rabatt;9
2013;dec;kulturenilund;verksamhet;fri-vuxen;80
2013;dec;kulturenilund;verksamhet;skola-allt;1683
2013;dec;kulturenilund;verksamhet;pensionär;210
2013;dec;kulturenilund;verksamhet;medlem;278
2013;dec;kulturenilund;verksamhet;grupp;103
2014;jan;kulturenilund;verksamhet;vuxen;606
2014;jan;kulturenilund;verksamhet;konferens;540
2014;jan;kulturenilund;verksamhet;student;128
2014;jan;kulturenilund;verksamhet;barn;415
2014;jan;kulturenilund;verksamhet;rabatt;29
2014;jan;kulturenilund;verksamhet;fri-vuxen;100
2014;jan;kulturenilund;verksamhet;skola-allt;633
2014;jan;kulturenilund;verksamhet;pensionär;154
2014;jan;kulturenilund;verksamhet;medlem;263
2014;jan;kulturenilund;verksamhet;grupp;39
2014;feb;kulturenilund;verksamhet;vuxen;556
2014;feb;kulturenilund;verksamhet;konferens;360
2014;feb;kulturenilund;verksamhet;student;147
2014;feb;kulturenilund;verksamhet;barn;503
2014;feb;kulturenilund;verksamhet;rabatt;38
2014;feb;kulturenilund;verksamhet;fri-vuxen;196
2014;feb;kulturenilund;verksamhet;skola-allt;957
2014;feb;kulturenilund;verksamhet;pensionär;255
2014;feb;kulturenilund;verksamhet;medlem;319
2014;feb;kulturenilund;verksamhet;grupp;40
2014;mar;kulturenilund;verksamhet;vuxen;496
2014;mar;kulturenilund;verksamhet;konferens;166
2014;mar;kulturenilund;verksamhet;student;205
2014;mar;kulturenilund;verksamhet;barn;407
2014;mar;kulturenilund;verksamhet;rabatt;36
2014;mar;kulturenilund;verksamhet;fri-vuxen;215
2014;mar;kulturenilund;verksamhet;skola-allt;1302
2014;mar;kulturenilund;verksamhet;pensionär;189
2014;mar;kulturenilund;verksamhet;medlem;285
2014;mar;kulturenilund;verksamhet;grupp;1
2014;apr;kulturenilund;verksamhet;vuxen;810
2014;apr;kulturenilund;verksamhet;konferens;130
2014;apr;kulturenilund;verksamhet;student;230
2014;apr;kulturenilund;verksamhet;barn;983
2014;apr;kulturenilund;verksamhet;rabatt;20
2014;apr;kulturenilund;verksamhet;fri-vuxen;147
2014;apr;kulturenilund;verksamhet;skola-allt;1336
2014;apr;kulturenilund;verksamhet;pensionär;224
2014;apr;kulturenilund;verksamhet;medlem;298
2014;apr;kulturenilund;verksamhet;grupp;84
2014;maj;kulturenilund;verksamhet;vuxen;995
2014;maj;kulturenilund;verksamhet;konferens;397
2014;maj;kulturenilund;verksamhet;student;255
2014;maj;kulturenilund;verksamhet;barn;575
2014;maj;kulturenilund;verksamhet;rabatt;95
2014;maj;kulturenilund;verksamhet;fri-vuxen;469
2014;maj;kulturenilund;verksamhet;skola-allt;2355
2014;maj;kulturenilund;verksamhet;pensionär;891
2014;maj;kulturenilund;verksamhet;medlem;488
2014;maj;kulturenilund;verksamhet;grupp;369
2014;jun;kulturenilund;verksamhet;vuxen;1466
2014;jun;kulturenilund;verksamhet;konferens;332
2014;jun;kulturenilund;verksamhet;student;330
2014;jun;kulturenilund;verksamhet;barn;854
2014;jun;kulturenilund;verksamhet;rabatt;82
2014;jun;kulturenilund;verksamhet;fri-vuxen;541
2014;jun;kulturenilund;verksamhet;skola-allt;1222
2014;jun;kulturenilund;verksamhet;pensionär;861
2014;jun;kulturenilund;verksamhet;medlem;503
2014;jun;kulturenilund;verksamhet;grupp;245
2014;jul;kulturenilund;verksamhet;vuxen;2103
2014;jul;kulturenilund;verksamhet;konferens;0
2014;jul;kulturenilund;verksamhet;student;304
2014;jul;kulturenilund;verksamhet;barn;1385
2014;jul;kulturenilund;verksamhet;rabatt;183
2014;jul;kulturenilund;verksamhet;fri-vuxen;495
2014;jul;kulturenilund;verksamhet;skola-allt;359
2014;jul;kulturenilund;verksamhet;pensionär;1099
2014;jul;kulturenilund;verksamhet;medlem;471
2014;jul;kulturenilund;verksamhet;grupp;19
2014;aug;kulturenilund;verksamhet;vuxen;1900
2014;aug;kulturenilund;verksamhet;konferens;216
2014;aug;kulturenilund;verksamhet;student;363
2014;aug;kulturenilund;verksamhet;barn;1440
2014;aug;kulturenilund;verksamhet;rabatt;122
2014;aug;kulturenilund;verksamhet;fri-vuxen;400
2014;aug;kulturenilund;verksamhet;skola-allt;898
2014;aug;kulturenilund;verksamhet;pensionär;1029
2014;aug;kulturenilund;verksamhet;medlem;450
2014;aug;kulturenilund;verksamhet;grupp;289
2014;sep;kulturenilund;verksamhet;vuxen;674
2014;sep;kulturenilund;verksamhet;konferens;758
2014;sep;kulturenilund;verksamhet;student;192
2014;sep;kulturenilund;verksamhet;barn;318
2014;sep;kulturenilund;verksamhet;rabatt;48
